Subject,openingHoursSpecification,má-kontakt,hasEnd,hasEmail,má-vstupné,hasBeginning,Description (cs),Description (en),rest,má-vykonavatele-majetkových-práv-autorských-u-autorského-díla,inXSDDateTimeStamp,hasURL,druh (cs),druh (en),má-přílohu,downloadUrl,databáze-chráněná-zvláštními-právy-pořizovatele-databáze,legalName (cs),notation,má-podmínky-užití,geometry,first,originální-databáze,licence-autorského-díla,coordinates,encodingFormat,obsahuje-více-autorských-děl,Type,má-časový-interval,Title (cs),Title (en),superEvent,obsahuje-osobní-údaje,type,obsahuje-autorské-dílo
https://www.gotobrno.cz/akce/deskovy-statek-2/,179,,,,,,"""Třeskutá, šílená, ale naprosto lidská komedie je výpravou do české minulosti, jež by mohla být omluvou naší současnosti. Jen však nikdy neříkejme – tohle by se dříve stát nemohlo.Počátek minulého století, pražský Žižkov a&nbsp;místní volby. Majitel realitní kanceláře i přidruženého obchodu s bohatými nevěstami chce být starostou a&nbsp;je ochoten pro to ledacos, respektive cokoli udělat. Bezskrupulózní politický pragmatismus, citový cynismus, účel, který světí jakékoli prostředky.Nejrůznější intriky a&nbsp;předvolební manipulace popsal Václav Štech s nadhledem chápajícího humoru ve své hře před více než sto lety. Přesto jako by byly i&nbsp;v dnešní době “návodem”, jak si úspěšně vést v politice i&nbsp;podnikání. Časy se sice mění, mocenské praktiky však přetrvávají…?""",,,,,,,,,,,,,,180,,,,,,,divadlo,,Deskový statek,,,,,
https://www.gotobrno.cz/akce/deskovy-statek-3/,183,,,,,,"""Třeskutá, šílená, ale naprosto lidská komedie je výpravou do české minulosti, jež by mohla být omluvou naší současnosti. Jen však nikdy neříkejme – tohle by se dříve stát nemohlo.Počátek minulého století, pražský Žižkov a&nbsp;místní volby. Majitel realitní kanceláře i přidruženého obchodu s bohatými nevěstami chce být starostou a&nbsp;je ochoten pro to ledacos, respektive cokoli udělat. Bezskrupulózní politický pragmatismus, citový cynismus, účel, který světí jakékoli prostředky.Nejrůznější intriky a&nbsp;předvolební manipulace popsal Václav Štech s nadhledem chápajícího humoru ve své hře před více než sto lety. Přesto jako by byly i&nbsp;v dnešní době “návodem”, jak si úspěšně vést v politice i&nbsp;podnikání. Časy se sice mění, mocenské praktiky však přetrvávají…?&nbsp;Autor:Václav Štech Režie:Ivo Krobot Hrají:Jan Kolařík, Barbora Slaninová, Gabriela Štefanová, Martin Siničák, Lukáš Hroník, Lukáš Rieger, Václav Vodička, Ctirad Götz, Jakub Uličník, Veronika Stieranková / Terézia Bocianová, Ema Červenáková / Michaela Skalová, Karolína Anna Měřínská""",,,,,,,,,,,,,,184,,,,,,,divadlo,,Deskový statek,,,,,
https://www.gotobrno.cz/akce/divadelni-svet-brno/,187,,,,,,"""Festival přiváží do Brna delikátní výběr zahraničních inscenací a&nbsp;to nejlepší z&nbsp;českého divadla za příslušný rok. Festival Divadelní svět Brno je několik dnů nabitých velkou činohrou, komorními projekty, tanečními inscenacemi, site-specific performancemi, doprovodným programem i&nbsp;akcemi pro profesionály. &nbsp;""","""A major international theatre show for those interested not only in drama, but also in dance, physical and musical-theatrical productions.This show of progressive theatrical productions will be accompanied by a&nbsp;number of other events, including exhibitions, workshops, and workshops for kids.""",,,,,,,,,,,,,188,,,,,,,divadlo,,Divadelní svět Brno,Divadelní svět Brno (Theatre World Brno),,,,
https://www.gotobrno.cz/akce/dny-elektronove-mikrospopie/,192,,,,,,"""Akce připomínající, že čtvrtina všech elektronových mikroskopů na celém světě vzniká ve městě Brně, má odbornou i&nbsp;populárně-vědeckou část. Nosným tématem bude v roce 2025 „Padouch nebo hrdina“, symbolem se stane obří nafukovací model bakteriofágu. ""","""Akce připomínající, že čtvrtina všech elektronových mikroskopů na celém světě vzniká ve městě Brně, má odbornou i&nbsp;populárně-vědeckou část. Nosným tématem bude v roce 2025 „Padouch nebo hrdina“, symbolem se stane obří nafukovací model bakteriofágu. """,,,,,,,,,,,,,193,,,,,,,,,Dny elektronové mikroskopie 2025,Dny elektronové mikroskopie 2025,,,,
https://www.gotobrno.cz/akce/don-quijote-5/,196,,,,,,"""Jeden z pilířů klasického baletního odkazu je balet Don Quijote na hudbu Ludwiga Minkuse inspirovaný slavným Cervantesovým románem Důmyslný Don Quijote de La Mancha. Ten popisuje příhody hrdiny, rytíře Dona Quijota, zmítaného představami pohybujícími se mezi iluzí a&nbsp;skutečností.Baletní inscenace ale používají ve svém libretu Cervantesův příběh jen jako inspiraci a&nbsp;záminku. Veškeré jevištní dění se soustřeďuje okolo mladého mileneckého páru Basilia (Basil) a&nbsp;Quiterie (Kitri), kterým překáží bohatý nápadník Comacha (Gamacho). Jen díky Donu Quijotovi dojde jejich láska naplnění.Inscenace, kterou přinášíme brněnskému publiku, měla svou premiéru v&nbsp;Companii Nacional de Danza v&nbsp;Madridu v&nbsp;roce 2015. Pro tamní soubor tuto verzi vytvořil José Carlos Martínez, tehdejší umělecký šéf souboru a&nbsp;emeritní hvězda Pařížské opery, který je v&nbsp;současnosti uměleckým ředitelem této přední světové scény. Snad promluvila španělská krev, která proudí v&nbsp;žilách choreografa José Martíneze, ale jeho inscenace, založená na originální koncepci Maria Petipy a&nbsp;Alexandera Gorského, je plná hispánského temperamentu, barev, atmosféry a&nbsp;typických gest.Baletní verze Dona Quijota je pro svou brilantní taneční techniku a&nbsp;jedinečnou krásu příběhu a&nbsp;hudby velmi často uváděna na nejproslulejších světových scénách, což je bezpochyby dáno atraktivním španělským prostředím, do něhož je celý příběh zasazen. Virtuosní party hlavních hrdinů Basila a&nbsp;Kitri jsou i&nbsp;jedním z&nbsp;technických a&nbsp;hereckých vrcholů baletního repertoáru a&nbsp;vizitkou interpretačního mistrovsví tanečníků.Premiéra: 25.&nbsp;dubna 2025 v&nbsp;Janáčkově divadle""",,,,,,,,,,,,,,197,,,,,,,"divadlo,koncert",,Don Quijote,,,,,
https://www.gotobrno.cz/akce/druha-strana-fotografie/,200,,,,,,"""Autory kolektivní výstavy Druhá strana fotografie spojuje nevšední vizualita, konzistence světla i&nbsp;koncepce jednotlivých fotografií. Vybrané práce Lukáše Jasanského a&nbsp;Martina Poláka, Michala Kalhouse, Aleny Kotzmannové, Marie Kratochvílové a&nbsp;Markéty Othové v&nbsp;dialogu s&nbsp;osobním pojetím fotografie Jana Svobody a&nbsp;jemnými intervencemi Jiřího Kovandy umožňují skrze jejich sdílenou citlivost nahlédnout skrytou realitu světa v&nbsp;nečekaném detailu.kurátorka: Denisa Kujelová""",,,,,,,,,,,,,,201,,,,,,,výstava,,Druhá strana fotografie,,,,,
https://www.gotobrno.cz/akce/enigma-tajny-svet-sifer/,205,,,,,,"""Technické muzeum v&nbsp;Brně připravilo jedinečnou výstavu ENIGMA – tajný svět šifer, na které se poprvé na území České republiky představuje legendární šifrovací stroj Enigma, model M3. Jedná se o&nbsp;výstavu zapůjčenou ze Slovenského technického múzea, které uvedený stroj do svých sbírek získalo v&nbsp;roce 2020.Jedná se o&nbsp;mimořádně vzácný a&nbsp;jedinečný exponát, který existuje jen v&nbsp;několika desítkách zachovaných originálů na území Evropy, přičemž z&nbsp;okolních států se nachází pouze v&nbsp;Polsku. Zařízení Enigma bylo v&nbsp;několika modifikacích používáno zejména německými ozbrojenými silami před vypuknutím a&nbsp;v&nbsp;průběhu druhé světové války, kdy sehrálo důležitou úlohu, a&nbsp;to paradoxně na obou stranách konfliktu. Stroj dokázal vytvořit více než 100 milionů kombinací, proto bylo šifrování pomocí tohoto zařízení považováno německou armádou za neprolomitelné.Výstava prezentuje fascinující příběh samotné Enigmy, zároveň však návštěvníkům nabízí pohled do historie kryptologie i&nbsp;to, jak se šifrování promítá do života běžného člověka.Pro návštěvníky, kteří chtějí proniknout detailněji do principu různých druhů šifer, připravilo TMB celomuzejní hru s&nbsp;názvem „Tajný svět šifer“.Na pokladně muzea si zájemci budou moci zakoupit speciální šifrovací klíč, pomocí něhož budou luštit šifry umístěné ve stálých expozicích muzea.Výstava je k&nbsp;vidění až do 29.&nbsp;12.&nbsp;2024.""",,,,,,,,,,,,,,206,,,,,,,výstava,,ENIGMA – tajný svět šifer,,,,,
https://www.gotobrno.cz/akce/fabio-biondi-filharmonie-brno/,210,,,,,,"""ANTONIO VIVALDI Concerto per l’orchestra di Dresda in Sol minore RV 577JAN DISMAS ZELENKA Simphonie à 8 concertanti ZWV 189PIETRO NARDINI Houslový koncert in A&nbsp;op. 1 č. 1LUIGI BOCCHERINI Symfonie d moll op. 12 č. 4 (Sinfonia la casa del diavolo) G. 506Filharmonie Brnodirigent Fabio Biondi houslePřed koncertem se v&nbsp;18:00 hodin v&nbsp;ředitelském salonku koná beseda s&nbsp;dramaturgem a&nbsp;jeho hosty. Z důvodu omezené kapacity si rezervujte místo na info@filharmonie-brno.cz.&nbsp;Italský houslista a&nbsp;dirigent Fabio Biondi je skutečnou legendou. Proslul jako specialista na poučenou interpretaci tzv. staré hudby a&nbsp;jako umělecký vedoucí světoznámého souboru Europa Galante, který roku1989 založil. S&nbsp;tímto souborem účinkoval na prestižních pódiích a&nbsp;festivalech jako Sál Pierra Bouleze v&nbsp;Berlíně, hamburská Elbphilharmonie, vídeňský Konzerthaus, Edinburský mezinárodní festival atd. Nyní Fabio Biondi povede k&nbsp;poučené interpretaci staré hudby i&nbsp;brněnské filharmoniky. Nastuduje s&nbsp;nimi atraktivní program, který nabídne díla tří italských skladatelů různých generací od baroka po raný klasicismus.""",,,,,,,,,,,,,,211,,,,,,,koncert,,FABIO BIONDI &amp; FILHARMONIE BRNO,,,,,
https://www.gotobrno.cz/akce/fenomen-fatra/,215,,,,,,"""Zveme vás na fascinující putovní výstavu Fenomén Fatra, která nabízí ojedinělou příležitost nahlédnout do světa kultovních českých hraček z&nbsp;produkce Fatry Napajedla. Poznejte nafukovací zvířátka, která zažila snad každá československá domácnost, objevte unikátní hračky z&nbsp;PVC a&nbsp;pryže, které překvapí svou hravostí i&nbsp;nadčasovým designem. Výstava potěší všechny generace – ti starší zavzpomínají na hračky svého dětství, zatímco dnešní děti se mohou nechat okouzlit nejen jejich půvabem, ale i&nbsp;precizním zpracováním.Ikony českého designu: Výstava přináší kousky od legendární designérky Libuše Niklové, jejíž nafukovací sedací hračky a&nbsp;pryžové figurky patří k&nbsp;vrcholům českého průmyslového designu.Unikátní exponáty: Nahlédněte do historie prostřednictvím nejstarších hraček a&nbsp;exkluzivní kolekce Jules Verne pro Expo ’67, kde se představily polyetylenová loď Albatros a&nbsp;ponorka Nautilus. Každý exponát je obohacen o&nbsp;příběh jeho vzniku a&nbsp;designéra.Fatra dnes: Nejen retro! Fatru dnes reprezentují i&nbsp;současní čeští designéři, kteří posouvají tradici této značky kupředu, a&nbsp;jejichž díla výstava také představuje. Poznejte moderní tvary i&nbsp;barvy, od psíka Bulíka po elegantní balonky Black and White.Výstava je skvělou příležitostí objevit radost z&nbsp;nostalgie, ale i&nbsp;chuť inovace, která prostupuje celý příběh Fatry. Přijďte se inspirovat a&nbsp;prožijte Fenomén Fatra na vlastní oči!""",,,,,,,,,,,,,,216,,,,,,,výstava,,Fenomén Fatra,,,,,
https://www.gotobrno.cz/akce/festival-bonjour-brno/,220,,,,,,Multižánrový festival francouzské kultury představí současnou uměleckou produkci z&nbsp;Francie a&nbsp;další kulturně vzdělávací akce s&nbsp;francouzskou &#8220;příchutí&#8221; pro široké publikum. V rámci programu festival připomene 60 let spolupráce mezi partnerskými městy Brnem a&nbsp;Rennes (1965-2025).,"""A traditional market full of goodies and designs with a&nbsp;touch of France. Again at the beautiful Moravian Gallery and in front of it.You can look forward to many of your favourite cafés and bistros, and have a&nbsp;look at progressive designs of Brno&#8217;s&nbsp;leading ateliers and studios.PROGRAM""",,,,,,,,,,,,,221,,,,,,,koncert,,Festival Bonjour Brno,Bonjour Brno,,,,
https://www.gotobrno.cz/akce/figarova-svatba/,224,,,,,,"""Bez hranic či za hranici? Jak dlouho vydrží ta pravá láska Rosiny a&nbsp;Almavivy, co měla být navždy, a&nbsp;kdy se nevinný flirt s Cherubínem změní v něco mnohem vážnějšího? Kde jsou vlastně hranice v lidských vztazích…Po úspěšné inscenaci Händelovy Alciny se do brněnského divadla vrací špičkový orchestr Collegium1704 pod taktovkou Václava Lukse, aby se společně s režisérem Jiřím Heřmanem vydali za krásami Mozartovy hudby a&nbsp;jeho opery, která se těší neutuchající popularitě na celém světě. A&nbsp;není divu, neboť Figarova svatba se mimo brilantní a&nbsp;jiskřivou hudbu, co vás strhne svým neustávajícím tokem podobným horské bystřině, pyšní i&nbsp;téměř činoherním libretem. A&nbsp;jak by taky ne, když základem pro Da Ponteho byla stejnojmenná hra vynikajícího francouzského dramatika Pierra de Beaumarchais.Figarovu svatbu provázelo už od dob její činoherní premiéry označení revoluční hra, ale pravdou je, že místo revoluce je Figarova svatba především o&nbsp;lidech. A&nbsp;o&nbsp;vztazích mezi nimi, což je téma staré jako lidstvo samo a&nbsp;nikdy nepřestane být aktuální. Právě proto nás stále přitahuje čistá láska mezi Zuzanou a&nbsp;Figarem, baví rozjívený Cherubín se svou rozvíjející se sexualitou, který hledá objekt zbožňování v každé dostupné ženě, dojímá milostné zklamání Rosiny i&nbsp;se můžeme vidět v nepříliš úspěšných výbojích hraběte Almavivy. Navíc máte konečně možnost zjistit, co se stane s operními hrdiny, když spadne opona na konci Lazebníka sevillského.V koprodukci s Théâtre de Caen a&nbsp;SNDS orchestrem Collegium 1704Premiéra: 22.&nbsp;března 2025 v Janáčkově divadle""",,,,,,,,,,,,,,225,,,,,,,"divadlo,koncert",,Figarova svatba,,,,,
https://www.gotobrno.cz/akce/forever-narvan/,228,,,,,,"""Po čtvrtstoletí se na scénu vrátí brněnská funková raketa Narvan se třemi původními členy na palubě doplněná dvěma novými „parťáky“. Důstojně a&nbsp;v&nbsp;plné palbě připomenou 25 let od smrti zpěváka Maria a&nbsp;kytaristy Martyho. Těšte se na songy, které nikdy nepřestaly rezonovat českým hudebním vesmírem.Před koncertem proběhne videoprojekce s&nbsp;dosud nepublikovanými záběry ze života kapely před nešťastnou nehodou.""",,,,,,,,,,,,,,229,,,,,,,koncert,,Forever NARVAN,,,,,
https://www.gotobrno.cz/akce/fungami-adamovia-anami-bernard-maucta/,233,,,,,,"""Čas slunovratu probouzí systémy podhoubí k tanci a oslavám vzniku třicátého letokruhu jednoho bytí. Zvěsti melodií podzemních sfér přijde hlásat brněnský Fungus kolektiv, který v srpnu vydal ambientní kompilaci českých elektronických umělců na kazetách a v digitální podobě. Skupina slučuje nadšence multimediálního umění a dává volný průtok jejich kreativnímu puzení obdobně jako déšť dává poznat houbám světlo světa.Lineup:ADAMOVIAANAMIBERNARDMÁÚCTA""",,,,,,,,,,,,,,234,,,,,,,koncert,,FUNGAMI: ADAMOVIA + ANAMI + BERNARD + MÁÚCTA,,,,,
https://www.gotobrno.cz/akce/georges-a-maurice-aneb-carmen-a-matka-husa-rodinne-abonma/,237,,,,,,"""Listujete rádi kalendářem? Zasníte se někdy při pohledu do něj a&nbsp;představujete si, co se toho kterého dne událo přesně před 100, 150, 200… lety? Baví vás výročí, nejlépe ta kulatá, a&nbsp;svátky? Nás ano a&nbsp;podle toho jsme také nachystali cyklus rodinných koncertů v&nbsp;sezoně 2024/2025. Připomeneme si  významná výročí premiér skladeb, narození skladatelů, hudebních událostí, také svátky atakdále, které se vážou k příslušnému období, v&nbsp;němž se ten který koncert koná. Hlavním dramaturgem (tím, kdo vybírá skladby) je tedy čas. A&nbsp;tak trochu jím budete i&nbsp;vy, protože vám dáme možnost pro každý koncert vybrat jednu skladbu – samozřejmě demokraticky. Pojďte s&nbsp;námi tvořit, poslouchat a&nbsp;bavit se.Georges Bizet a&nbsp;Maurice Ravel byli dva významní francouzští skladatelé. První z&nbsp;nich je mj. autorem slavné opery Carmen, jejíž světová premiéra proběhla před 150 lety, 3.&nbsp;března 1875 v&nbsp;Paříži. Jen o&nbsp;čtyři dny později, 7.&nbsp;března 1875, se v&nbsp;severozápadní část Pyrenejského ostrova poblíž španělských hranic narodil Maurice Ravel, tvůrce populárního Bolera nebo třeba také pohádkově laděného hudebního cyklu Moje matka husa.moderátoři Kristýna Drášilová a Magdalena DostálováscénářKristýna DrášilováFilharmonie Brnodirigent Patrik Červák Kristýna Drášilováje hudební lektorka Filharmonie Brno, členka České Orffovy společnosti, Společnosti pro hudební výchovu ČR a&nbsp;lídr projektu Hudba do škol, který probíhá ve spolupráci s&nbsp;Českou filharmonií. Absolvovala obory hudební věda a&nbsp;archivnictví na FF Masarykovy univerzity. Do roku 2018 působila jako hudební dramaturgyně dětských pořadů při Janáčkově filharmonii Ostrava. Od roku 2014 pracuje jako hudební lektorka Filharmonie Brno, kde si plní své dětské hudební sny.&nbsp;Pro děti je 1 hodinu a&nbsp;45 minut před koncertem připravena ve foyer Besedního domu hudební dílna (vstup zdarma a&nbsp;bez registrace). Dospělí mohou ve stejné době navštívit odbornou přednášku hudebních hostů.""",,,,,,,,,,,,,,238,,,,,,,koncert,,GEORGES A&nbsp;MAURICE aneb CARMEN A&nbsp;MATKA HUSA / Rodinné abonmá,,,,,
https://www.gotobrno.cz/akce/god-and-eve-krstni-otcovia/,242,,,,,,"""Psychedelie, jazz a&nbsp;art-pop s&nbsp;bohatými vokály.God and EveJádro kapely God and Eve tvoří Eva Sajanová a&nbsp;Richard Grimm (který působí i&nbsp;jako Boh Vajec v&nbsp;koncertní sestavě Raptora Kocha). Oba studují hudební kompozici, Richard na pražské HAMU a&nbsp;Eva na bratislavské konzervatoři. Opěvovaní nováčci slovenské scény God and Eve získali za svůj debut The Creation, plný hravého art popu, jazzu či psychedelie, dostali nominaci na Objev roku od Radio_Head Awards.Debutová deska jim vyšla u&nbsp;slovenských Slnko Records, stejně jako následné EP The Fastest Way to Deep Clean a&nbsp;House, na kterém pokračují v&nbsp;hravém přístupu k&nbsp;art popu se silnými melodiemi i&nbsp;vynikajícím zpěvem. Obě EP vyjdou společně na jednom LP. God and Eve od komplexních artrockových kompozicí přecházejí k&nbsp;popovějším strukturám a&nbsp;nezapomínají ani na svérázný humor. V&nbsp;loňském roce nadchli na slovenském showcasu Sharpe a&nbsp;letos se představí i&nbsp;na Colours of Ostrava.Krstní otcoviaKrstní otcovia, kapela poskládaná ze čtyř krstných otcov, kteří ještě nikoho nekřtili. Tvrdí, že jim ke slávě stačí pentatonika, 25 efektů a&nbsp;cover na Where is my mind. Členové KO však tento styl nazývají „experimentálním anarcho post noise art mega punkem“""",,,,,,,,,,,,,,243,,,,,,,koncert,,God and Eve | Krstní otcovia,,,,,
https://www.gotobrno.cz/akce/groove-brno-2025-dvoudenni-letni-festival/,247,,,,,,"""Groove Brno slaví plnoletost. Svým 18.&nbsp;ročníkem se transformuje na plnotučný letní open air festival, který se soustředí na svoji středoevropskou funk-soulovou komunitu. Přibývá stále víc návštěvníků z jiných koutů naší země, ale i&nbsp;ze zahraničí. Celý podzim jezdit do Brna a&nbsp;navštěvovat jeden koncert za druhým však není reálné. Sami se nás mnozí ptáte, kdy konečně program Groovu dáme do jednoho nebo dvou dnů. Tak here we go.Čeká vás okouzlující místo plné zeleně přímo u&nbsp;vody na Kozí horce, nádherné pláže brněnské přehrady. Sázíme na kvalitu a&nbsp;chceme, abyste si s&nbsp;námi Groove Brno především užili všemi smysly – na místo se dopravit pěkně lodí, pohoda u&nbsp;vody, skvělá hudba, příjemné prostředí, gastro nabídka toho nejlahodnějšího, co v&nbsp;Brně máme, chill na trávě, sportovní vyžití ve vodě i&nbsp;na souši, grilovačka na pláži, a&nbsp;hlavně komunita lidí, které (stejně jako vás) láká objevovat a&nbsp;dělat si to krásný.Pozor! Kapacita je omezená. Nechceme abyste se tlačili před podiem. Chceme, abyste si to užili na max a&nbsp;mohli volně dýchat. Důležití jste pro nás vy, kvalita muziky a&nbsp;všeho kolem, co vám budeme nabízet.Limitovaná edice Early bird tickets za zvýhodněnou cenu právě v&nbsp;prodeji!""",,,,,,,,,,,,,,248,,,,,,,koncert,,Groove Brno 2025 &#8211; dvoudenní letní festival,,,,,
https://www.gotobrno.cz/akce/haydnovo-stvoreni/,252,,,,,,"""JOSEPH HAYDN Die Schöpfung (Stvoření), oratorium pro sólisty, sbor a&nbsp;orchestr Hob. XXI:2na text Roberta Lindleye podle Písma a&nbsp;eposu Johna Miltona „Ztracený ráj“ v německém překladu Gottfrieda van SwietenLada Bočková sopránPetr Nekoranec tenorPeter Mikuláš basČeský filharmonický sbor Brnosbormistr Petr FialaFilharmonie Brnodirigent Petr AltrichterPřed koncertem se v 18:00 hodin v ředitelském salonku koná beseda s dramaturgem a&nbsp;jeho hosty. Z důvodu omezené kapacity si rezervujte místo na info@filharmonie-brno.cz.&nbsp;Haydnova cesta k mezinárodní slávěZ nepřehledně početného a&nbsp;mnohotvárného díla Josepha Haydna (1732–1809) vystupují k epochálnímu významu tři obory: smyčcový kvartet, symfonie a&nbsp;oratorium (včetně mší). První dva z nich pěstoval Haydn po celou (třicetiletou) dobu svého působení v esterházyovské kapele. Když pak byla (1790) kapela rozpuštěna, dostal osmapadesátiletý, už slavný skladatel slušnou penzi a&nbsp;mohl přesídlit do Vídně. Následující desítiletí mu pak přineslo značný úspěch společenský i&nbsp;umělecký; dvojí triumfální zájezd do Londýna upevnil jeho mezinárodní proslulost a&nbsp;poskytl mu nové tvůrčí podněty. Právě v Londýně poznal anglický Händelův oratorní kult; ten ho inspiroval k oběma oratorním skladbám (oratoriu Stvoření a&nbsp;kantátovému cyklu Čtvera ročních dob).Libreto Stvoření a premiéra oratoriaLibreto vychází z úvodního textu Písma (Genese), popisujícího stvoření světa Hospodinem během šesti dnů, a&nbsp;opírá se (s použitím jednoho ze žalmů) o&nbsp;Miltonův (1608–1674) proslulý epos Ztracený ráj. Biblický text v recitativech tří archandělských postav posouvá dění kupředu; árie, ansámbly a&nbsp;sbory je komentují. Pětatřicet rozmanitých čísel oratoria je seřazeno v monumentální celek, jenž působí jako dílo z jednoho kusu. Veřejná premiéra Stvoření proběhla 19. března 1799 ve vídeňském Burgtheatru s účastí sto dvaceti orchestrálních hráčů a&nbsp;šedesáti sborových pěvců jako zcela mimořádná událost a&nbsp;připravila tak vítězné tažení Haydnova díla evropskými metropolemi. Sama však byla připravena dvojím soukromým provedením, jež Haydn uspořádal v předešlém roce pro vybranou společnost svých přátel, hudebních znalců a&nbsp;šlechtických sponzorů ve Švarcenberském paláci.&nbsp;""",,,,,,,,,,,,,,253,,,,,,,koncert,,HAYDNOVO STVOŘENÍ,,,,,
https://www.gotobrno.cz/akce/hodinovy-hotelier/,257,,,,,,"""Malí lidé v&nbsp;malé době.Ríša a&nbsp;Zuzi jsou milenci. On je ženatý, ona studuje uměleckou školu. Pravidelně se scházejí v&nbsp;temném pokoji, který zbyl po rozdělení kdysi honosného bytu. Jeho majitel, penzista Fána, s&nbsp;důchodem sotva vystačí, proto pokoj pronajímá. Kromě výhodného přivýdělku si se svými podnájemníky může občas pohovořit a&nbsp;osvěžit stereotypní život. I&nbsp;pro Fánova vrstevníka, hlídače Hanzla, který se chodí do bytu ohřát, je sledování mladé dvojice příjemnou vzpruhou. Jenomže tak, jak sílí ve společnosti krize bytová, kterou lze se skromností přestát, vyhrocuje sei&nbsp;krize mezilidských vztahů.Ve hře Hodinový hoteliér (1969) zúročil Pavel Landovský (1936–2014) vše, co bylo charakteristické pro jeho herecký projev – živelnost, svérázný humor, intelekt a&nbsp;výborný smysl pro komičnost všedních situací. Čtveřice aktérů z&nbsp;této komorní hry symbolizuje střet odlišných zkušeností, tužeb a&nbsp;hodnot obyčejných lidí napříč generacemi. Osudy čtyř ztroskotanců vepsal Landovský do mimořádných hereckých partů, které jsou plné vtipných dialogů, groteskních prvků a&nbsp;existenciálního poselství. Na spontánní a&nbsp;plnokrevné herecké výkony se můžeme těšit v&nbsp;režii Štěpána Pácla.Premiéra: 9.&nbsp;června 2023 v&nbsp;divadle Reduta""",,,,,,,,,,,,,,258,,,,,,,divadlo,,Hodinový hoteliér,,,,,
https://www.gotobrno.cz/akce/hotel-strindberg/,261,,,,,,"""Jeden hotel, sedm párů a&nbsp;věčný zápas mezi mužem a&nbsp;ženou.Jste spokojeni ve vztahu? Po přespání v&nbsp;Hotelu Strindberg už nic nebude jako dřív!V jednom z&nbsp;pokojů se manžel užírá žárlivostí na manželku a&nbsp;napadá ho, že jeho dcera možná vůbec není jeho. Jiný host se nikdy nesmířil s&nbsp;tím, že si jeho životní láska vzala někoho jiného – a&nbsp;když se s&nbsp;ní i&nbsp;s&nbsp;jejím manželem v&nbsp;hotelu náhodou potká, začne plánovat pomstu. Jiná, dlouhá léta šťastně vdaná žena je přesvědčená, že v&nbsp;hotelu zahlédla osudového muže z&nbsp;mládí… a&nbsp;najednou má pocit, že její manželství možná nebylo až tak šťastné. Mladé dívce z&nbsp;vedlejšího pokoje vyšel pozitivně těhotenský test. Snaží se to zavolat svému milenci, místo něj se ale celý večer ozývá jen záznamník. Další muž se snaží na poslední chvíli přesvědčit manželku, aby stáhla žádost o&nbsp;rozvod. Co když ale manželka před chvílí viděla, jak od něj z&nbsp;pokoje odchází cizí žena, co bydlí o&nbsp;patro níž?Ubytováni jsou zde i&nbsp;mladí novomanželé, kterým se někdo rozhodl zkazit svatební cestu tím, že o&nbsp;muži šíří pomluvy, že v&nbsp;hotelu kouká po jiných ženách. A&nbsp;na recepci se před chvílí zapsal muž v&nbsp;nejlepších letech, který se chystá představit svým dospělým dětem novou snoubenku. Jistý problém by ale mohl být v&nbsp;tom, že jeho nastávající je o&nbsp;čtyřicet let mladší než on – a&nbsp;že se nějak podezřele dobře zná s&nbsp;jeho synem… Noc v&nbsp;Hotelu Strindberg bude dlouhá!Klasik švédské literatury August Strindberg je dramatik manželských a&nbsp;milostných neporozumění a&nbsp;tvrdých zápasů mezi pohlavími. Jeho tvorba měla zásadní vliv mj. i&nbsp;na věhlasného režiséra Ingmara Bergmana. Současný australský autor Simon Stone (*1984) přichází s&nbsp;moderní adaptací jeho nejvýznamnějších her, které spojuje do jedné. Stone dokazuje, že Strindbergovy hry mohou říct mnohé o&nbsp;partnerském soužití muže a&nbsp;ženy v&nbsp;21.&nbsp;století, a&nbsp;jejich mnohdy drsné příběhy předkládá publiku s&nbsp;citlivostí a&nbsp;až nečekaným smyslem pro humor.Česká premiéra: 16.&nbsp;května 2025 v&nbsp;Mahenově divadle""",,,,,,,,,,,,,,262,,,,,,,divadlo,,Hotel Strindberg,,,,,
https://www.gotobrno.cz/akce/hra-ktera-se-zvrtla/,265,,,,,,Bláznivá komedie!,,,,,,,,,,,,,,266,,,,,,,divadlo,,"""Hra, která se zvrtla""",,,,,
https://www.gotobrno.cz/akce/hrdza-slovensko/,270,,,,,,"""Špička slovenské world musicMuzikanti od Prešova vaří v&nbsp;jednom hrnci slovenské lidové kořeny, folkovou něhu a&nbsp;rockovou dravost, kterou ochucují keltskou melodikou a&nbsp;jazzovou rytmikou.Hrdza se může pochlubit nejsledovanějšími klipy slovenského youtube, ale nic se nevyrovná živému zážitku s&nbsp;touto neuvěřitelnou energetickou bombou.Více: https://www.hrdza.sk/""",,,,,,,,,,,,,,271,,,,,,,koncert,,Hrdza (Slovensko),,,,,
https://www.gotobrno.cz/akce/hrozny-hnevu-tour-reznik-desade-dj-flux/,274,,,,,,"""Prvního října vyšlo album Hrozny Hněvu a&nbsp;trio Řezník, Desade, DJ Flux vyráží na tour.""",,,,,,,,,,,,,,275,,,,,,,koncert,,HROZNY HNĚVU tour || Řezník | DeSade | DJ FLUX,,,,,
